,0,1
0,<PAD>,0
1,<UNK>,1
2,해방,2
3,이다,3
4,그토록,4
5,온,5
6,세상,6
7,이,7
8,염원,8
9,하다,9
10,독립,10
11,오다,11
12,을,12
13,위해,13
14,얼마나,14
15,많다,15
16,사람,16
17,들,17
18,싸우다,18
19,죽다,19
20,가다,20
21,아버님,21
22,그리다,22
23,어머님,23
24,이제,24
25,난,25
26,새롭다,26
27,조국,27
28,에서,28
29,과연,29
30,무엇,30
31,것,31
32,인가,32
33,주먹,33
34,패,34
35,로,35
36,살아가다,36
37,은,37
38,더,38
39,이상,39
40,의미,40
41,가,41
42,없다,42
43,누구,43
44,와,44
45,말,45
46,내,46
47,일이,47
48,저희,48
49,크다,49
50,형님,50
51,만나다,51
52,안,52
53,돼다,53
54,헛걸음,54
55,우리,55
56,도,56
57,요,57
58,몇,58
59,달,59
60,동안,60
61,못,61
62,뵈다,62
63,글쎄요,63
64,찾다,64
65,있다,65
66,중,66
67,혹시,67
68,무슨,68
69,일인,69
70,지,70
71,제,71
72,먼저,72
73,알,73
74,면,74
75,되다,75
76,치안,76
77,대,77
78,에,78
79,협조,79
80,달라,80
81,는,81
82,말씀,82
83,입,83
84,니까,84
85,인지,85
86,자다,86
87,알다,87
88,돌아오다,88
89,그렇게,89
90,전,90
91,장,91
92,권,92
93,동지,93
94,라,94
95,아무튼,95
96,예,96
97,안녕하다,97
98,건설,98
99,사업,99
100,이라,100
101,온통,101
102,뒤죽박죽,102
103,인데,103
104,뭐,104
105,영광,105
106,스러운,106
107,임무,107
108,라는,108
109,허다,109
110,두,110
111,한,111
112,도대체,112
113,어디,113
114,거야,114
115,때,115
116,되어다,116
117,백성,117
118,이야,118
119,늘,119
120,그렇다,120
121,거,121
122,아니다,122
123,바쁘다,123
124,건,124
125,위,125
126,정자,126
127,옛날,127
128,이나,128
129,지금,129
130,자신,130
131,진정하다,131
132,애국자,132
133,라고,133
134,글쎄,134
135,민족,135
136,진영,136
137,가만있다,137
138,시끄럽다,138
139,아마도,139
140,테,140
141,정국,141
142,혼란,142
143,만큼,143
144,기,144
145,사거리,145
146,많아지다,146
147,곧,147
148,사회,148
149,의,149
150,으로,150
151,이어지다,151
152,조선총독,152
153,아베,153
154,정무총감,154
155,엔도,155
156,중도좌파,156
157,성향,157
158,여운형,158
159,에게,159
160,정권,160
161,이양,161
162,제의,162
163,이르다,163
164,수락,164
165,발,165
166,빠르다,166
167,건준,167
168,즉,168
169,건국,169
170,준비,170
171,위원회,171
172,를,172
173,조직,173
174,주도,174
175,잡다,175
176,그러나,176
177,총독부,177
178,당초,178
179,약속,179
180,어기,180
181,고,181
182,미루다,182
183,북쪽,183
184,소련군,184
185,진주,185
186,함께,186
187,친위,187
188,공,188
189,산세,189
190,력,190
191,기초,191
192,정부조직,192
193,만들다,193
194,남쪽,194
195,미국,195
196,이라는,196
197,강력하다,197
198,또,198
199,하나,199
200,세력,200
201,영향,201
202,미치다,202
203,시작,203
204,승,204
205,전국,205
206,으로서,206
207,비롯,207
208,모든,208
209,정부,209
210,불,210
211,인정,211
212,하고,212
213,새,213
214,적극,214
215,주도하다,215
216,노골,216
217,적,217
218,인,218
219,의사,219
220,표현,220
221,조선,221
222,정객,222
223,정파,223
224,이념,224
225,따르다,225
226,서로,226
227,갈등,227
228,분열,228
229,공산주의,229
230,민족주의,230
231,역사,231
232,상처,232
233,기록,233
234,분단,234
235,여기,235
236,서,236
237,부터,237
238,어른,238
239,드리다,239
240,참여,240
241,않다,241
242,분명,242
243,올바르다,243
244,결정,244
245,하지만,245
246,그저,246
247,이대로,247
248,앉다,248
249,임정,249
250,기다리다,250
251,순,251
252,일,252
253,다,253
254,들다,254
